id;nazwa;Dzia³ka;Styl;Kondygnacja;Iloœc osób;Dach;Gara¿;Kuchnia;Kominek;Ogrzewanie;Efektywnoœæ ;Piwnica;Wysokoœæ;Szerokoœæ;Wysokoœæ;Powierzchnia u¿ytkowa;Powierzchnia gara¿u;Minimalna szerokoœæ dzia³ki;Minimalna g³êbokoœæ dzia³ki;K¹t nachylenia dachu;Iloœæ pomieszczeñ;Powierzchnia netto;Powierzchnia zabudowy;Powierzchnia piwnicy;Powierzchnia strychu;Kubatura netto;Powierzchnia dachu;Liczba sypialni;Liczba ³azienek;Liczba toalet;Iloœæ piêter;Senioratka
4106;AIDA wersja B poj. gara¿ i pokój nad gara¿em paliwo sta³e ;3;15;18;5;22;24;26;28;30;34;39;8.85;;;139.1;;18.9;19.6;45;6;;130;;;;218.5;4;;;2;
4117;AIDA wersja C podwójny gara¿;3;15;18;5;22;25;26;28;31;34;39;8.75;;;124.2;;21.3;19.6;45;5;;151;;;;217;3;;;2;
4119;AIDA wersja C podwójny gara¿ paliwo sta³e ;3;15;18;5;22;25;26;28;30;34;39;8.75;;;124.2;;21.3;19.6;45;5;;151;;;;217;3;;;2;
4118;AIDA wersja D podwójny gar. i pokój nad gara¿em;3;15;18;5;22;25;26;28;31;34;39;8.75;;;147.6;;21.3;19.6;45;5;;151;;;;217;4;;;2;
4120;AIDA wersja D podwójny gar. i pokój nad gara¿em paliwo sta³e;3;15;18;5;22;25;26;28;30;34;39;8.75;;;147.6;;21.3;19.6;45;5;;151;;;;217;4;;;2;
3467;AKACJA 2 bliŸniak wersja B segment;3;15;18;5;23;24;26;28;31;34;39;7.7;;;166.6;;23.8;20.9;38;5;;181.7;;;;260;4;;;2;
4041;AKACJA 2 bliŸniak wersja B z pojedynczym gara¿em;3;15;18;5;23;24;26;28;31;34;39;7.7;;;333.2;;41.4;20.9;38;10;;363.4;;;;520;3;;;2;
3205;AKACJA 2 wersja A bez gara¿u;3;15;18;5;23;40;26;28;31;34;39;7.7;;;155.4;;21.1;20.9;38;5;;158;;;;232;4;;;2;
4048;AKACJA 2 wersja A bez gara¿u paliwo sta³e;3;15;18;5;23;40;26;28;30;34;39;7.7;;;155.4;;21.1;20.9;38;5;;158;;;;232;4;;;2;
4049;AKACJA 2 wersja B z poj. gara¿em paliwo sta³e;3;15;18;5;23;24;26;28;30;34;39;7.7;;;163.1;;23.8;20.9;38;5;;181.7;;;;272;4;;;2;
3206;AKACJA 2 wersja B z pojedynczym gara¿em;3;15;18;5;23;24;26;28;31;34;39;7.7;;;163.1;;23.8;20.9;38;5;;181.7;;;;272;4;;;2;
3534;AKACJA 2 wersja D z podwójnym gar. paliwo sta³e;3;15;18;5;23;25;26;28;30;34;39;7.7;;;169.3;;26.1;20.9;38;5;;196.7;;;;292;4;;;2;
3207;AKACJA 2 wersja D z podwójnym gara¿em;3;15;18;5;23;25;26;28;31;34;39;7.7;;;169.3;;26.1;20.9;38;5;;196.7;;;;292;4;;;2;
3535;AKSAMIT wersja A z podwójnym gar. paliwo sta³e;3;15;18;6;23;25;27;28;30;34;39;8.4;;;144.8;;21.1;23;38;6;;181.3;;;;276.8;5;;;2;
3980;AKSAMIT wersja A z podwójnym gara¿em;3;15;18;6;23;25;27;28;31;34;39;8.4;;;144.8;;21.1;23;38;6;;181.3;;;;276.8;5;;;2;
3982;ALA 2 wersja A z pojedynczym gara¿em;3;15;18;5;22;24;27;28;31;34;39;8.1;;;139.9;;21.3;18.2;40;5;;133.8;;;;196;4;;;2;
3981;ALA wersja A bez gara¿u;3;15;18;5;22;40;27;28;31;34;39;8.1;;;115.9;;17.9;17.8;40;4;;100.4;;;;150.6;3;;;2;
3704;ALABAMA 2 wersja A z wiat¹;3;16;18;6;23;45;26;28;31;34;39;7.4;;;159.5;;26;20.2;32;6;;200.2;;;;238.9;5;;;2;
3705;ALABAMA 2 wersja A z wiat¹ paliwo sta³e;3;16;18;6;23;45;26;28;30;34;39;7.4;;;159.5;;26;20.2;32;6;;200.2;;;;238.9;5;;;2;
4121;ALABAMA 2 wersja B bez gara¿u;3;16;18;6;23;40;26;28;31;34;39;7.4;;;159.5;;23.4;20.2;32;6;;172.7;;;;238.9;5;;;2;
4123;ALABAMA 2 wersja B bez gara¿u paliwo sta³e;3;16;18;6;23;40;26;28;30;34;39;7.4;;;159.5;;23.4;20.2;32;6;;172.7;;;;238.9;5;;;2;
4092;ALABAMA 2 wersja C z pojedynczym gara¿em;3;16;18;6;23;24;26;28;31;34;39;7.4;;;159.5;;26.1;20.2;32;6;;190.0;;;;234.5;5;;;2;
4093;ALABAMA 2 wersja C z pojedynczym gara¿em paliwo sta³e;3;16;18;6;23;24;26;28;30;34;39;7.4;;;159.5;;26.1;20.2;32;6;;190.0;;;;234.5;5;;;2;
4122;ALABAMA 2 wersja D z podwójnym gara¿em;3;16;18;6;23;25;26;28;31;34;39;7.4;;;159.5;;28.5;20.2;32;6;;218.1;;;;238.9;5;;;2;
4124;ALABAMA 2 wersja D z podwójnym gara¿em paliwo sta³e;3;16;18;6;23;25;26;28;30;34;39;7.4;;;159.5;;28.5;20.2;32;6;;218.1;;;;238.9;5;;;2;
4299;ALABAMA 3 wersja A z wiat¹;3;16;17;5;23;45;26;28;31;34;39;5.72;;;127.3;;26;20.2;20;4;;198.9;;;;221.6;3;;;1;
4298;ALABAMA 3 wersja A z wiat¹ paliwo sta³e;3;16;17;5;23;45;26;28;30;34;39;5.72;;;127.3;;26;20.2;20;4;;198.9;;;;221.6;3;;;1;
4300;ALABAMA 3 wersja B bez gara¿u;3;16;17;5;23;40;26;28;31;34;39;5.72;;;127.3;;23.4;20.2;20;4;;172.2;;;;221.6;3;;;1;
4301;ALABAMA 3 wersja B bez gara¿u paliwo sta³e;3;16;17;5;23;40;26;28;30;34;39;5.72;;;127.3;;23.4;20.2;20;4;;172.2;;;;221.6;3;;;1;
4302;ALABAMA 3 wersja C z pojedynczym gara¿em;3;16;17;5;23;24;26;28;31;34;39;5.72;;;127.3;;26.1;20.2;20;4;;200.2;;;;219.3;3;;;1;
4303;ALABAMA 3 wersja C z pojedynczym gara¿em paliwo sta³e;3;16;17;5;23;24;26;28;30;34;39;5.72;;;127.3;;26.1;20.2;20;4;;200.2;;;;219.3;3;;;1;
4304;ALABAMA 3 wersja D z podwójnym gara¿em;3;16;17;5;23;25;26;28;31;34;39;5.72;;;127.3;;28.5;20.2;20;4;;218;;;;219.3;3;;;1;
4305;ALABAMA 3 wersja D z podwójnym gara¿em paliwo sta³e;3;16;17;5;23;25;26;28;30;34;39;5.72;;;127.3;;28.5;20.2;20;4;;218;;;;219.3;3;;;1;
4306;ALABAMA 4 wersja A z wiat¹;3;16;18;6;23;45;26;28;31;34;39;7.42;;;159.9;;26.1;20.2;32;6;;198.9;;;;238.9;5;;;2;
4307;ALABAMA 4 wersja A z wiat¹ paliwo sta³e;3;16;18;6;23;45;26;28;30;34;39;7.42;;;159.9;;26.1;20.2;32;6;;198.9;;;;238.9;5;;;2;
4308;ALABAMA 4 wersja B bez gara¿u;3;16;18;6;23;40;26;28;31;34;39;7.42;;;159.9;;23.4;20.2;32;6;;172.7;;;;238.9;5;;;2;
4309;ALABAMA 4 wersja B bez gara¿u paliwo sta³e;3;16;18;6;23;40;26;28;30;34;39;7.42;;;159.9;;23.4;20.2;32;6;;172.7;;;;238.9;5;;;2;
4310;ALABAMA 4 wersja C pojedynczy gara¿;3;16;18;6;23;24;26;28;31;34;39;7.42;;;159.9;;26;20.2;32;6;;200.2;;;;235.1;5;;;2;
4311;ALABAMA 4 wersja C pojedynczy gara¿ paliwo sta³e;3;16;18;6;23;24;26;28;30;34;39;7.42;;;159.9;;26;20.2;32;6;;200.2;;;;235.1;5;;;2;
4313;ALABAMA 4 wersja D podwójny gara¿;3;16;18;6;23;25;26;28;31;34;39;7.42;;;159.9;;28.5;20.2;32;6;;218;;;;235.1;5;;;2;
4314;ALABAMA 4 wersja D podwójny gara¿ paliwo sta³e;3;16;18;6;23;25;26;28;30;34;39;7.42;;;159.9;;28.5;20.2;32;6;;218;;;;235.1;5;;;2;
3658;ALABAMA wersja A z wiat¹;3;16;17;5;23;45;26;28;31;34;39;5.72;;;126.4;;26;20.2;20;4;;190;;;;218.6;3;;;1;
3659;ALABAMA wersja A z wiat¹ paliwo sta³e;3;16;17;5;23;45;26;28;30;34;39;5.78;;;126.4;;26.4;20.2;20;4;;198.9;;;;191.9;3;;;1;
3657;ALABAMA wersja B bez wiaty;3;16;17;5;23;40;26;28;31;34;39;5.72;;;126.4;;23.4;20.2;20;4;;174.0;;;;;3;;;1;
3660;ALABAMA wersja B bez wiaty paliwo sta³e;3;16;17;5;23;40;26;28;30;34;39;5.72;;;126.4;;23.4;20.2;20;4;;174.0;;;;;3;;;1;
4076;ALABAMA wersja C z pojedynczym gara¿em;3;16;17;5;23;24;26;28;31;34;39;5.72;;;126.4;;26.1;20.2;20;4;;190;;;;218.6;3;;;1;
4078;ALABAMA wersja C z pojedynczym gara¿em paliwo sta³e;3;16;17;5;23;24;26;28;30;34;39;5.78;;;126.4;;26.1;20.2;20;4;;188.9;;;;219.3;3;;;1;
4077;ALABAMA wersja D z podwójnym gara¿em;3;16;17;5;23;25;26;28;31;34;39;5.72;;;126.4;;28.5;20.2;20;4;;219.3;;;;;3;;;1;
4079;ALABAMA wersja D z podwójnym gara¿em paliwo sta³e;3;16;17;5;23;25;26;28;30;34;39;5.72;;;126.4;;28.5;20.2;20;4;;219.3;;;;;3;;;1;
3673;ALAMO wersja A z wiat¹;3;16;18;5;22;45;26;28;31;34;39;8.05;;;133.5;;17.9;21.1;40;6;;133.4;;;;148.5;4;;;2;
3674;ALAMO wersja A z wiat¹ paliwo sta³e;3;16;18;5;22;45;26;28;30;34;39;8.05;;;133.5;;17.9;21.1;40;6;;133.4;;;;148.5;4;;;2;
4086;ALAMO wersja B z pojedynczym gara¿em;3;16;18;5;22;24;26;28;31;34;39;8.05;;;133.5;;17.9;21.1;40;6;;133.4;;;;148.5;4;;;2;
4087;ALAMO wersja B z pojedynczym gara¿em paliwo sta³e;3;16;18;5;22;24;26;28;30;34;39;8.05;;;133.5;;17.9;21.1;40;6;;133.4;;;;148.5;4;;;2;
4322;ALAMO wersja C z podwójnym gara¿em;3;16;18;5;22;25;26;28;31;34;39;8.03;;;122.95;;17.9;22;40;5;;159.7;;;;145;4;;;2;
3511;ALAN 2 wersja A;3;16;18;5;22;40;26;28;31;34;39;6.5;;;121.2;;17.7;17.5;33;5;;114.2;;;;144;2;;;2;
3510;ALAN 2 wersja A+W;3;16;18;5;22;45;26;28;31;34;39;6.5;;;121.2;;21.6;17.5;33;5;;133.3;;;;170.5;2;;;2;
3512;ALAN 2 wersja B;3;16;18;5;22;40;26;28;31;34;39;6.5;;;123.8;;19.7;17.5;33;5;;117.3;;;;144;2;;;2;
3513;ALAN 2 wersja B+W;3;16;18;5;22;45;26;28;31;34;39;6.5;;;123.8;;23.6;17.5;33;5;;136.4;;;;170.5;2;;;2;
3507;ALAN wersja A;3;16;17;5;22;40;26;28;31;34;39;6.3;;;87.1;;17.7;17.5;30;3;;114.2;;;;144;2;;;1;
3481;ALAN wersja A+W;3;16;17;5;22;45;26;28;31;34;39;6.3;;;87.1;;21.6;17.5;30;3;;133.3;;;;170.5;2;;;1;
3508;ALAN wersja B;3;16;17;5;22;40;26;28;31;34;39;6.3;;;89.7;;19.7;17.5;30;3;;117.3;;;;144;2;;;1;
3509;ALAN wersja B+W;3;16;17;5;22;45;26;28;31;34;39;6.3;;;89.7;;23.6;17.5;30;3;;136.4;;;;170.5;2;;;1;
3480;ALASKA wersja A;3;16;18;6;23;25;27;28;31;34;39;6.7;;;139.1;;23.8;27.7;30;4;;248.3;;;;321.2;5;;;2;
3563;ALASKA wersja A paliwo sta³e;3;16;18;6;23;25;27;28;30;34;39;6.7;;;139.1;;23.8;27.7;30;4;;248.3;;;;321.2;5;;;2;
3504;ALASKA wersja B;3;16;18;6;23;25;27;28;31;34;39;6.7;;;189.4;;23.8;27.7;30;7;;248.3;;;;321.2;5;;;2;
3564;ALASKA wersja B paliwo sta³e;3;16;18;6;23;25;27;28;30;34;39;6.7;;;189.4;;23.8;27.7;30;7;;248.3;;;;321.2;5;;;2;
3518;ALBERT 2 wersja A;3;16;18;5;22;40;26;28;31;34;39;6.6;;;135.5;;19.1;17.5;33;6;;124.9;;;;160.6;3;;;2;
3517;ALBERT 2 wersja A+W;3;16;18;5;22;45;26;28;31;34;39;6.6;;;135.5;;22.9;17.5;33;6;;164.6;;;;160.6;3;;;2;
3519;ALBERT 2 wersja B;3;16;18;5;22;40;26;28;31;34;39;6.2;;;138.1;;21.1;17.5;30;6;;128;;;;160.6;3;;;2;
3520;ALBERT 2 wersja B+W;3;16;18;5;22;45;26;28;31;34;39;6.2;;;138.1;;24.8;17.5;30;6;;150;;;;164.2;3;;;2;
3514;ALBERT wersja A;3;16;17;5;22;40;26;28;31;34;39;6.17;;;98.6;;19.1;17.5;30;4;;124.9;;;;164.2;3;;;1;
3482;ALBERT wersja A+W;3;16;17;5;22;45;26;28;31;34;39;6.17;;;98.6;;22.9;17.5;30;4;;147;;;;160.6;3;;;1;
3515;ALBERT wersja B;3;16;17;5;22;40;26;28;31;34;39;6.2;;;101.4;;21.1;17.6;30;4;;128;;;;164.2;3;;;1;
3516;ALBERT wersja B+W;3;16;17;5;22;45;26;28;31;34;39;6.2;;;101.4;;24.8;17.5;30;4;;150;;;;164.2;3;;;1;
3671;ALEKSANDRA KLASYK wersja A;3;16;18;5;22;25;26;28;31;34;39;7.8;;;145.9;;21.1;23.6;35;5;;151.5;;;;177.1;3;;;2;
3672;ALEKSANDRA KLASYK wersja B poszerzona;3;16;18;5;22;25;26;28;31;34;39;7.8;;;158.8;;22.1;23.6;35;5;;161.8;;;;186.6;3;;;2;
3381;ALEKSANDRA MODERN wersja A;3;16;19;5;23;25;26;28;31;34;39;7.8;;;159.8;;21.1;23.6;20;5;;151.5;;;;245;3;;;2;
3453;ALEKSANDRA MODERN wersja B poszerzona;3;16;19;5;23;25;26;28;31;34;39;7.8;;;175.25;;22.1;23.6;20;5;;161.8;;;;248;3;;;2;
3985;ALEX wersja A bez gara¿u strop drewniany;3;15;18;5;22;40;27;28;31;34;39;6.8;;;98.3;;21.8;17.2;35;6;;132.9;;;;196.8;3;;;2;
3988;ALEX wersja B z gara¿em strop drewniany;3;15;18;5;22;24;27;28;31;34;39;6.8;;;98.3;;25.4;17.2;35;6;;156.3;;;;228.4;3;;;2;
3989;ALEX wersja C bez gara¿u strop Teriva;3;15;18;5;22;40;27;28;31;34;39;6.8;;;97.8;;21.8;17.2;35;6;;132.9;;;;196.8;3;;;2;
3990;ALEX wersja D z gara¿em strop Teriva;3;15;18;5;22;24;27;28;31;34;39;6.8;;;97.8;;25.4;17.2;35;6;;156.3;;;;228.4;3;;;2;
3991;ALEX wersja E z podwójnym gara¿em strop drewniany;3;15;18;5;22;25;27;28;31;34;39;6.8;;;98;;28.3;17.2;35;6;;143.6;;;;225;3;;;2;
3992;ALEX wersja F z podwójnym gara¿em strop Teriva;3;15;18;5;22;25;27;28;31;34;39;6.8;;;98;;28.3;17.2;35;6;;143.6;;;;225;3;;;2;
4223;ALFA segment skrajny lewy;1;15;18;5;22;24;26;29;31;34;39;10.75;;;100.3;;10.11;20.56;45;4;;90.0;;;;86.8;3;;;2;
4225;ALFA segment skrajny prawy;1;15;18;5;22;24;26;29;31;34;39;10.75;;;100.3;;10.11;20.56;45;4;;89.69;;;;86.8;3;;;2;
4224;ALFA segment œrodkowy;1;15;18;5;22;24;26;29;31;34;39;10.75;;;100.3;;6.96;20.56;45;4;;87.48;;;;84.1;3;;;2;
3983;ALICJA wersja A z podwójnym gara¿em;1;15;18;5;22;25;26;28;31;34;39;7.55;;;123.8;;15.4;28.2;40;4;;141.7;;;;235.3;3;;;2;
4045;ALICJA wersja A z podwójnym gara¿em paliwo sta³e;1;15;18;5;22;25;26;28;30;34;39;7.55;;;123.8;;15.4;28.2;40;4;;141.7;;;;235.3;3;;;2;
3421;ALOES 2 wersja A;3;16;17;5;23;25;26;28;31;34;39;6.9;;;210.5;;26.5;26.5;20;4;;343;;;;403.8;3;;;1;
3496;ALOES 2 wersja B;3;16;17;5;23;25;26;28;31;34;39;6.9;;;247.5;;29.1;26.5;20;4;;384.7;;;;403.8;4;;;1;
